"Alpaca","A"
"Alpaca","B"
"Fairy","F"
"Fairy","G"
"Gnome","G"
"Gnome","H"
"Hamster","H"
"Hamster","A"
"Bear","A"
"Bear","B"
"Bat","B"
"Bat","C"
"Chicken","C"
"Chicken","D"
"Cook","C"
"Cook","D"
"Drake","D"
"Drake","E"
"Eagle","E"
"Eagle","F"
"Limp","L"
"Limp","M"
"Limp","N"
"Limp","O"
"Limp","P"
"Limp","Q"
"Mice","M"
"Mice","N"
"Mice","O"
"Mice","P"
"Mice","Q"
"Mice","L"
"Naughty","N"
"Naughty","O"
"Naughty","P"
"Naughty","Q"
"Naughty","L"
"Naughty","M"
"Opulent","O"
"Opulent","P"
"Opulent","Q"
"Opulent","L"
"Opulent","M"
"Opulent","N"
"Peace","P"
"Peace","Q"
"Peace","L"
"Peace","M"
"Peace","N"
"Peace","O"
"Query","L"
"Query","M"
"Query","N"
"Query","O"
"Query","P"
"Query","Q"
"Zephyr","Z"
"Zephyr","Y"
"Yellow","Y"
"Xylophone","X"
"Xylophone","Y"
"Why","W"
"Why","X"
"Violin","V"
"Violin","W"
"U","U"
"U","V"
"Trade Winds","T"
"Trade Winds","U"
"Stop","S"
"Stop","T"
"Railroad","R"
"Railroad","S"
